market_id,configuration_id,show_market_probabilities,news_shown,other_traders,n,mean_p_yes,sd_p_yes,min_p_yes,max_p_yes
fed_decision_in_december,1,True,True,llms,20,0.5,0.0,0.5,0.5
fed_decision_in_december,2,True,False,llms,20,0.5,0.0,0.5,0.5
fed_decision_in_december,3,True,True,humans,20,0.7502500000000001,0.20313642680409844,0.28,0.935
fed_decision_in_december,4,True,False,humans,20,0.799,0.18675624417095704,0.305,0.935
fed_decision_in_december,5,True,True,none,20,0.733,0.20122257904069682,0.3,0.935
fed_decision_in_december,6,True,False,none,20,0.799,0.18675624417095704,0.305,0.935
fed_decision_in_december,7,False,True,llms,20,0.3995,0.1277528452664919,0.3,0.89
fed_decision_in_december,8,False,False,llms,20,0.5,0.0,0.5,0.5
fed_decision_in_december,9,False,True,humans,20,0.40449999999999997,0.13949061466259075,0.25,0.89
fed_decision_in_december,10,False,False,humans,20,0.5,0.0,0.5,0.5
fed_decision_in_december,11,False,True,none,20,0.3995,0.13180827383981472,0.2,0.89
fed_decision_in_december,12,False,False,none,20,0.5,0.0,0.5,0.5
fed_decision_in_october,1,True,True,llms,20,0.943725,0.02729250668320213,0.895,0.9845
fed_decision_in_october,2,True,False,llms,20,0.942725,0.028554414812129413,0.895,0.9845
fed_decision_in_october,3,True,True,humans,20,0.942225,0.028498603382215836,0.895,0.9845
fed_decision_in_october,4,True,False,humans,20,0.942725,0.028554414812129413,0.895,0.9845
fed_decision_in_october,5,True,True,none,20,0.94375,0.02713877591002842,0.895,0.98
fed_decision_in_october,6,True,False,none,20,0.942725,0.028554414812129413,0.895,0.9845
fed_decision_in_october,7,False,True,llms,20,0.775,0.06977407149243608,0.65,0.9
fed_decision_in_october,8,False,False,llms,20,0.5,0.0,0.5,0.5
fed_decision_in_october,9,False,True,humans,20,0.7725,0.06584471365105535,0.65,0.9
fed_decision_in_october,10,False,False,humans,20,0.5,0.0,0.5,0.5
fed_decision_in_october,11,False,True,none,20,0.78,0.06366028258614137,0.65,0.9
fed_decision_in_october,12,False,False,none,20,0.5,0.0,0.5,0.5
fed_decision_in_september,1,True,True,llms,20,0.88025,0.04862517758051733,0.775,0.93
fed_decision_in_september,2,True,False,llms,20,0.843,0.04431941477857975,0.775,0.905
